Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_1206_3216Metric,12.080000,19.799000,0.000000,top
C2,100n,C_1206_3216Metric,12.080000,31.499000,0.000000,top
C3,100n,C_1206_3216Metric,13.230000,43.025000,-90.000000,top
C4,100n,C_1206_3216Metric,49.777000,43.027500,90.000000,top
C5,100n,C_1206_3216Metric,45.854000,43.027500,90.000000,top
C6,100n,C_1206_3216Metric,41.931000,43.027500,90.000000,top
D1,1N914,D_SOD-123,12.100000,15.864000,180.000000,top
D2,1N914,D_SOD-123,53.700000,43.050000,90.000000,top
D3,MBR0520,D_SOD-123,12.100000,35.500000,180.000000,top
IC1,MAX485E,SOIC-8_3.9x4.9mm_P1.27mm,55.420000,21.825000,0.000000,top
OC1,6N137,SMDIP-8_W9.53mm,21.310000,7.335000,-90.000000,top
OC2,6N137,SMDIP-8_W9.53mm,49.415000,7.335000,-90.000000,top
R1,220,R_1206_3216Metric,12.080000,11.959000,0.000000,top
R2,220,R_1206_3216Metric,12.080000,23.709000,0.000000,top
R3,220,R_1206_3216Metric,12.080000,27.589000,0.000000,top
R4,10k,R_1206_3216Metric,31.700000,5.998438,-90.000000,top
R5,100k,R_1206_3216Metric,31.700000,13.362500,90.000000,top
R6,270,R_1206_3216Metric,35.562500,13.362500,90.000000,top
R7,470,R_1206_3216Metric,39.425000,13.362500,-90.000000,top
R8,4.7k,R_1206_3216Metric,55.637500,14.675000,0.000000,top
R9,120,R_1206_3216Metric,56.300000,28.600000,0.000000,top
